dataset	fold	nseqs_train	test_set	nseqs_test	micro	macro	weighted	Si	In	WE	SE
GenomicOnly	1	3747	test_set	711	0.340365682137834	0.1354561473990315	0.19066591569521468	0.0	0.015748031496062992	0.5080042689434365	0.018072289156626505
GenomicOnly	1	3747	test_retinopathy	1723	0.4886825304701103	0.18151213760946128	0.3379200710713432	0.0	0.026200873362445417	0.6613861386138613	0.038461538461538464
GenomicOnly	2	3747	test_set	711	0.340365682137834	0.1432960295000429	0.20081855309830418	0.0	0.028985507246376812	0.5086956521739131	0.03550295857988165
GenomicOnly	2	3747	test_retinopathy	1723	0.481717933836332	0.17989923503824806	0.3359990021624862	0.0	0.01694915254237288	0.6584	0.04424778761061947
GenomicOnly	3	3747	test_set	711	0.35443037974683544	0.13479420731707317	0.18808188398339679	0.0	0.016260162601626015	0.5229166666666667	0.0
GenomicOnly	3	3747	test_retinopathy	1723	0.4962275101567034	0.17681251692620567	0.33856708414168785	0.0	0.017391304347826084	0.668237141735375	0.021621621621621623
GenomicOnly	4	3747	test_set	711	0.3389592123769339	0.1526556371464803	0.22678159161740874	0.0	0.0	0.4898876404494383	0.12073490813648292
GenomicOnly	4	3747	test_retinopathy	1723	0.4764944863609983	0.17685737252077066	0.3345346178265974	0.008230452674897118	0.0	0.6545893719806762	0.04460966542750929
GenomicOnly	5	3748	test_set	711	0.3530239099859353	0.139779456810292	0.20178619074739923	0.0	0.0	0.5169491525423728	0.04216867469879517
GenomicOnly	5	3748	test_retinopathy	1723	0.4956471271038886	0.17355744241720633	0.3358382834738254	0.0	0.0	0.6651035560765923	0.029126213592233014
GenomicOnly	6	3748	test_set	711	0.3530239099859353	0.15716296443329664	0.2335668702046702	0.0	0.0	0.5033112582781457	0.12534059945504086
GenomicOnly	6	3748	test_retinopathy	1723	0.485780615206036	0.17086086952070395	0.3316842219797003	0.0	0.0	0.6574694521087898	0.025974025974025972
GenomicOnly	7	3748	test_set	711	0.3459915611814346	0.14839557151588315	0.21798866146846227	0.0	0.0	0.5049396267837541	0.0886426592797784
GenomicOnly	7	3748	test_retinopathy	1723	0.4799767846778874	0.1701897555217424	0.330429076319324	0.0	0.0	0.6550079491255962	0.02575107296137339
GenomicOnly	8	3748	test_set	711	0.3488045007032349	0.14174946294307197	0.20555740617366197	0.0	0.0	0.5134264232008593	0.05357142857142857
GenomicOnly	8	3748	test_retinopathy	1723	0.4927452118398143	0.17077561907653444	0.3340986593605822	0.0	0.009569377990430622	0.6635330983157071	0.009999999999999998
GenomicOnly	9	3748	test_set	711	0.3558368495077356	0.1651769234825713	0.24747637582491863	0.0	0.0	0.5056689342403627	0.15503875968992248
GenomicOnly	9	3748	test_retinopathy	1723	0.4811375507835171	0.1800427790935988	0.3360369717882146	0.004123711340206186	0.0	0.6567881457749298	0.059259259259259255
GenomicOnly	10	3748	test_set	711	0.3656821378340366	0.18129345402072675	0.2760891099978173	0.0	0.0	0.5029515938606848	0.2222222222222222
GenomicOnly	10	3748	test_retinopathy	1723	0.47823563551944287	0.1878885426300947	0.3390736666310242	0.004123711340206186	0.010204081632653062	0.6558704453441296	0.08135593220338984
Round1	1	7962	test_set	711	0.3656821378340366	0.18751959247648903	0.22743938732589974	0.0	0.2068965517241379	0.5431818181818182	0.0
Round1	1	7962	test_retinopathy	1723	0.4701102727800348	0.19323712853124617	0.3410872802563083	0.0	0.11764705882352941	0.6553014553014552	0.0
Round1	2	7963	test_set	711	0.35724331926863573	0.17062428849050745	0.2578494955571661	0.0	0.0	0.4965675057208238	0.18592964824120603
Round1	2	7963	test_retinopathy	1723	0.4666279744631457	0.19443878176806384	0.34019658713198353	0.02395209580838323	0.0	0.6430338004946414	0.11076923076923077
Round1	3	7963	test_set	711	0.3488045007032349	0.16005814709323626	0.2390459197175764	0.0	0.0	0.4988713318284424	0.14136125654450263
Round1	3	7963	test_retinopathy	1723	0.4718514219384794	0.1961934584618676	0.34286446486165084	0.027833001988071572	0.0	0.6461916461916463	0.11074918566775245
Round1	4	7963	test_set	711	0.36427566807313644	0.17468916416502767	0.2645169678315358	0.0	0.0	0.502283105022831	0.19647355163727961
Round1	4	7963	test_retinopathy	1723	0.4689495066744051	0.19585326030198374	0.3403225223346378	0.01619433198380567	0.0	0.6452674897119342	0.12195121951219512
Round1	5	7963	test_set	711	0.3656821378340366	0.19730279530364203	0.23371765550534637	0.0	0.24778761061946902	0.5414235705950992	0.0
Round1	5	7963	test_retinopathy	1723	0.4793964016250725	0.1896520594320105	0.34135112781733284	0.0	0.09846153846153845	0.6601466992665035	0.0
Round1	6	7963	test_set	711	0.38677918424753865	0.2102581959135405	0.3288408465948157	0.0	0.0	0.48258064516129034	0.3584521384928717
